bibnumber,name,gender,age,genderdiv,division,overallplace,pace,split5k,split10k,split20k,split25k,split30k,split35k,split40k,splithalf,officialtime,city,state,country,ctz
W13,"Filteau, Michel",M,47,14,14,14,3.42,8.67,18.3,39.63,50.33,62.33,74.95,84.48,41.8,89.4,St-Jean Baptiste,QC,CAN,
W14,"Kim, Gyu Dae",M,30,15,15,15,3.42,8.98,18.78,39.65,50.33,62.72,75.02,84.75,41.82,89.52,Champaign,IL,USA,KOR
W20,"Bleakney, Adam",M,38,16,16,16,3.55,8.92,18.77,40.83,52.07,64.87,77.78,87.7,43,92.87,Champaign,IL,USA,
W101,"McFadden, Tatyana",F,25,1,1,17,3.63,10.12,20.65,43.12,54.18,66.48,79.15,89.87,45.43,95.1,Champaign,IL,USA,
W17,"Gordian, Aaron",M,49,17,17,18,3.65,8.93,19.37,42.47,54.2,66.62,79.6,90.07,44.82,95.28,Phoenix,AZ,USA,MEX
W25,"Wahoram, Prawat",M,33,18,18,19,3.65,8.68,18.17,39.05,49.15,60.17,72.18,81.83,41.2,95.5,Bangkok,,THA,
W24,"Siemann, Brian",M,24,19,19,20,3.68,9.4,20.22,43.78,55.67,68.17,80.95,91.63,46.23,96.53,Savoy,IL,USA,
W30,"Cao, De Cheng",M,21,20,20,21,3.68,9.25,19.73,42.32,54.18,67.45,80.83,91.65,44.72,96.53,Liao Ning,,CHN,
W36,"Dodson, Travis",M,28,21,21,22,3.68,10.15,21.07,44.77,56.47,68.65,81.37,91.68,47.13,96.57,Champaign,IL,USA,
W28,"Qi, Ji Dong",M,19,22,22,23,3.7,9.33,20.22,43.8,55.68,68.17,80.95,91.65,46.23,96.6,Liao Ning,,CHN,
W105,"Tsuchida, Wakako",F,39,2,2,24,3.72,9.25,19.75,43.15,54.88,68.18,81.58,92.07,45.42,97.4,Tama City Tokyo,,JPN,
W23,"Kozarek, Robert",M,25,23,23,25,3.75,9.12,19.37,43.02,54.32,68.53,83.25,93.03,45.27,98.13,Champaign,IL,USA,
W16,"Puigbo Verdaguer, Roger Sr.",M,36,24,24,26,3.77,8.68,18.3,40.73,52.9,67.12,81.77,92.87,43.17,98.42,Sant Julia De Vilatorta,,ESP,
W108,"Scaroni, Susannah",F,22,3,3,27,3.77,10.12,20.65,43.95,55.75,68.93,82.17,93.08,46.33,98.55,Urbana,IL,USA,
W22,"Park, Peter",M,36,25,25,28,3.78,9.25,20.17,44.32,56.28,69.53,83.1,93.65,46.7,99,Champaign,IL,USA,
W107,"Schar, Manuela",F,29,4,4,29,3.82,9.72,20.55,43.67,55.4,69.1,83.37,94.22,46.07,99.65,Kriens,,SUI,
W29,"Li, Lai Zu",M,26,26,26,30,3.85,9.97,21.13,46.15,57.87,70.95,84.08,95.12,48.65,100.62,Liao ning,,CHN,
W106,"Woods, Shelly",F,27,5,5,31,3.88,10.1,20.65,43.93,55.73,69.42,84.12,95.8,46.35,101.7,Lytham - St Annes,,GBR,
W109,"Roy, Diane",F,43,6,6,32,3.97,9.65,20.65,44.87,57.47,71.78,86.57,97.73,47.32,103.67,Sherbrooke,QC,CAN,
W34,"Vick, Wes B.",M,33,27,27,33,3.98,9.77,21.27,46.72,59.32,73.72,88.17,98.65,49.27,104.02,Toronto,ON,CAN,
W27,"Pulido, Jose Sr.",M,33,28,28,34,3.98,10.08,21.47,46.33,58.3,72.97,87.73,98.48,48.77,104.08,Clarkesville,GA,USA,MEX
W33,"McCallister, Kacey Z.",M,27,29,29,35,3.98,9.72,25.15,49.77,61.87,74.83,88.17,98.58,52.23,104.13,Monmouth,OR,USA,
W18,"Ray, Bradley F.",M,45,30,30,36,3.98,9.4,20.68,45.88,58.28,72.95,87.73,98.48,48.35,104.15,Loveland,CO,USA,
W104,"Reilly, Shirley S.",F,28,7,7,37,4,10.12,21.07,46.13,58.43,72.98,87.8,98.73,48.68,104.57,Tucson,AZ,USA,
W32,"Sanz, Santiago",M,33,31,1,38,4.07,10.17,21.6,47.28,60.13,74.35,88.6,100.28,49.93,106.2,Albatera,,ESP,
W41,"Martin, Raymond",M,20,32,2,39,4.15,10.67,22.65,48.82,61.75,75.83,90.78,102.5,51.57,108.48,Champaign,IL,USA,
W43,"Doak, Patrick A.",M,46,33,31,40,4.17,9.93,21.55,47.82,60.82,75.83,91.53,103.03,50.43,109,Carlisle,MA,USA,
W37,"Fowler, Jason M.",M,40,34,32,41,4.17,10.52,22.63,48.73,61.68,76.95,91.98,103.43,51.38,109.2,Boston,MA,USA,
W103,"McGrory, Amanda M.",F,27,8,8,42,4.23,10.12,20.65,45.25,58.75,75.28,91.7,104.28,48.03,110.87,Savoy,IL,USA,
W42,"Davis, Matt",M,47,35,33,43,4.48,11.55,24.2,52.12,65.87,82,99.13,110.97,54.88,117.4,Bowling Green,KY,USA,
W44,"Kent, Geoffrey",M,34,36,34,44,4.6,11.27,24.2,52.75,67.1,83.87,101.53,113.87,55.53,120.58,Chicago,IL,USA,
19,"Keflezighi, Meb",M,38,1,1,1,4.92,15.15,30.48,61.08,76,91.17,106.62,121.82,64.35,128.62,San Diego,CA,USA,
7,"Chebet, Wilson",M,28,2,2,2,4.92,15.18,30.52,61.63,76.97,92.52,107.47,121.95,64.87,128.8,Marakwet,,KEN,
11,"Chepkwony, Frankline",M,29,3,3,3,4.92,15.18,30.5,61.63,76.95,92.52,107.47,122.22,64.9,128.83,Koibatek,,KEN,
23,"Shafar, Vitaliy",M,32,4,4,4,4.95,15.4,30.82,61.62,76.85,92.5,108,122.97,64.93,129.62,Lutsk,,UKR,
5,"Geneti, Markos",M,29,5,5,5,4.97,15.17,30.48,61.62,76.95,92.52,107.47,122.8,64.85,129.83,Addis Ababa,,ETH,
16,"Kimurer, Joel",M,26,6,6,6,5,15.18,30.52,61.63,76.97,92.52,108.02,123.83,64.87,131.05,Iten,,KEN,
W48,"Scott, Glen E.",M,53,37,35,45,5.02,12.1,25.62,56.67,72.67,90.63,109.65,123.58,59.78,131.38,Calgary,AB,CAN,
22,"Arciniaga, Nicholas",M,30,7,7,7,5.03,15.18,30.52,61.77,77.12,93.05,109.13,124.85,65.07,131.78,Flagstaff,AZ,USA,
24,"Eggleston, Jeffrey",M,29,8,8,8,5.03,15.2,30.53,61.75,77.07,92.82,108.8,124.8,65.08,131.95,Boulder,CO,USA,
15,"Lonyangata, Paul",M,31,9,9,9,5.07,15.18,30.52,61.63,76.97,92.52,108.17,124.98,64.9,132.57,Eldoret,,KEN,
14,"Annani, Adil",M,33,10,10,10,5.07,15.18,30.53,61.63,76.97,92.6,109.15,125.23,64.88,132.72,Marrakesh,,MAR,
28,"Boit, Josphat",M,30,11,11,11,5.08,15.17,30.48,61.08,76.1,91.97,108.13,124.72,64.35,132.87,Mammoth Lakes,CA,USA,
W111,"Moore, Jill",F,21,9,9,46,5.12,12.12,25.28,56.1,71.67,91.37,112.4,126.67,59.1,133.97,Champaign,IL,USA,
29,"Leon, Craig",M,29,12,12,12,5.13,15.2,30.53,61.87,77.58,93.83,110.3,126.77,65.35,134.47,Eugene,OR,USA,
31,"Morgan, Mike G.",M,34,13,13,13,5.15,15.58,31.37,63.07,78.98,95.25,111.45,127.5,66.55,134.67,Rochester Hills,MI,USA,
26,"Sakai, Koichi",M,28,14,14,14,5.15,15.42,30.83,62.3,78.02,94.33,111.12,127.67,65.7,134.93,Chiba,,JPN,
17,"April, Lusapho",M,31,15,15,15,5.15,15.18,30.52,61.63,76.95,92.52,108.32,126.32,64.88,134.98,Uitenhage,,RSA,
W35,"Hulin, Ben R.",M,32,38,36,47,5.15,11.73,25.28,57.05,73,93.67,114.77,127.6,59.95,134.73,Park City,UT,USA,
18,"Abdirahman, Abdi",M,35,16,16,16,5.2,15.17,30.52,61.83,77.58,93.82,110.9,128.17,65.28,136.1,Tucson,AZ,USA,
12,"Kogo, Micah",M,27,17,17,17,5.23,15.17,30.5,61.62,76.97,92.52,109.12,128.18,64.88,137.2,Eldoret,,KEN,
W112,"Rausin, Arielle",F,20,10,10,48,5.23,12.9,26.98,59.62,76.1,95.62,116.23,129.67,62.65,137.05,Urbana,IL,USA,
20,"Gotcher, Brett",M,29,18,18,18,5.25,15.25,30.75,62.28,78.07,94.5,111.55,129.13,65.75,137.27,La Selva Beach,CA,USA,
34,"Macpherson, Scott",M,27,19,19,19,5.27,15.58,31.22,62.28,77.58,93.87,111.5,129.55,65.62,137.77,Columbia,MO,USA,
6,"Hall, Ryan",M,31,20,20,20,5.27,15.15,30.48,61.78,77.68,94.78,112.27,129.83,65.23,137.83,Redding,CA,USA,
F1,"Jeptoo, Rita",F,33,1,1,21,5.3,16.22,32.58,65.83,82.43,99.33,116.37,132.1,69.47,138.95,Eldoret,,KEN,
50,"Sanca, Ruben",M,27,21,21,22,5.32,16.23,32.53,64.95,81.02,97.65,114.48,131.4,68.42,139.08,Lowell,MA,USA,CPV
77,"Steidl, Ulrich",M,42,22,1,23,5.33,16.25,32.63,65.52,82.2,99.15,116.1,132.47,69.18,139.8,Seattle,WA,USA,
49,"Hensley, Matt",M,26,23,22,24,5.35,16.23,32.7,65.73,82.35,99.2,115.92,132.4,69.33,139.85,Boulder,CO,USA,
F10,"Deba, Buzunesh",F,26,2,2,25,5.35,16.2,32.57,65.83,82.43,99.35,116.38,132.65,69.47,139.98,Arsi,,ETH,
199,"Harvey, Brian C.",M,26,24,23,26,5.37,16.17,32.62,65.08,81.28,98.13,115.48,132.9,68.62,140.52,Boston,MA,USA,
F2,"Dibaba, Mare",F,24,3,3,27,5.37,16.2,32.57,65.83,82.43,99.33,116.37,132.95,69.47,140.58,Shoa,,ETH,
F3,"Sumgong, Jemima Jelagat",F,29,4,4,28,5.37,16.22,32.58,65.83,82.45,99.33,116.37,132.95,69.47,140.68,Nandi,,KEN,
76,"Shabunin, Viacheslav V.",M,44,25,2,29,5.37,16.38,32.77,66.08,82.72,99.6,116.47,133.38,69.77,140.72,Moscow,,RUS,
45,"Jami, Segundo O. Sr.",M,27,26,24,30,5.38,15.23,30.82,62.78,78.88,95.97,114.42,132.67,66.28,140.87,Boulder,CO,USA,ECU
112,"Havel, Kevin",M,24,27,25,31,5.38,16.68,33.68,67.33,83.9,100.92,117.42,133.38,70.88,140.92,Arlington Heights,IL,USA,
109,"Flaherty, Matt",M,28,28,26,32,5.4,16.52,32.78,65.92,82.43,99.52,116.82,133.7,69.5,141.33,Bloomington,IN,USA,
F25,"Melkamu, Meselech",F,29,5,5,33,5.4,16.22,32.57,65.83,82.45,99.35,116.37,133.2,69.47,141.47,Addis Ababa,,ETH,
F12,"Duliba, Aleksandra",F,26,6,6,34,5.4,16.47,33.23,66.57,83.4,100.58,117.65,134.2,70.25,141.48,Minsk,,BLR,
115,"Andrews, Tyler C.",M,23,29,27,35,5.4,16.17,32.62,65.22,81.57,98.72,116.28,133.72,68.77,141.55,Concord,MA,USA,
133,"Ashe, Eric",M,25,30,28,36,5.42,16.15,32.6,65.08,81.4,98.63,116.32,133.85,68.6,141.68,Boston,MA,USA,
F17,"Flanagan, Shalane",F,32,7,7,37,5.43,16.2,32.57,65.82,82.43,99.33,116.63,134,69.45,142.03,Portland,OR,USA,
102,"End, Nicholas B.",M,29,31,29,38,5.43,16.6,33.28,67.07,83.9,100.9,117.88,134.72,70.73,142.37,Pittsburgh,PA,USA,
33,"Jensen, Bryant",M,30,32,30,39,5.45,16.1,32.42,65.23,81.68,98.8,116.75,134.43,68.8,142.68,Ogden,UT,USA,
F6,"Cherop, Sharon",F,30,8,8,40,5.47,16.22,32.58,65.85,82.45,99.35,116.92,134.65,69.47,143,Marakwet,,KEN,
116,"Taylor, Alex J.",M,34,33,31,41,5.48,16.92,33.93,68.02,84.95,102.1,119.4,136.13,71.73,143.35,Jamaica Plain,MA,USA,
F15,"Ongori, Philes",F,27,9,9,42,5.48,16.35,33.02,66.58,83.43,100.8,118.4,135.67,70.27,143.37,Kisii,,KEN,
155,"Laye, Matthew J.",M,33,34,32,43,5.48,17.02,34.22,68.57,85.55,102.63,119.53,136.15,72.27,143.53,Suaslito,CA,USA,
86,"Wardian, Michael R.",M,40,35,3,44,5.48,16.22,32.53,65.5,82.18,99.43,117.13,135.07,69.18,143.53,Arlington,VA,USA,
121,"Benadum, Blue",M,34,36,33,45,5.48,16.88,33.83,67.75,84.57,101.7,119.03,136.15,71.43,143.72,Los Angeles,CA,USA,
F8,"Linden, Desiree",F,30,10,10,46,5.5,16.92,33.93,67.92,85.03,102.4,119.68,136.47,71.68,143.9,Rochester Hills,MI,USA,
139,"Schneider, Ben",M,30,37,34,47,5.5,16.92,33.95,68.12,85.12,102.42,119.73,136.65,71.82,143.93,Minneapolis,MN,USA,
F16,"Oljira, Belaynesh",F,23,11,11,48,5.52,16.2,32.57,65.83,82.43,99.53,117.58,135.8,69.47,144.35,Wellega,,ETH,
36,"Dewald, Matt",M,31,38,35,49,5.52,16.23,32.98,67.55,84.78,102.48,120.53,137.38,71.37,144.58,Denver,CO,USA,
195,"Ohara, Chip",M,33,39,36,50,5.52,16.58,33.22,67.02,83.83,100.9,118.95,136.72,70.72,144.58,Auburn,NY,USA,
79,"Lokken, Tracy",M,48,40,1,51,5.53,16.23,32.63,66.53,83.9,101.33,119.2,136.83,70.32,144.65,Marquette,MI,USA,
124,"Nurse, Ian",M,36,41,37,52,5.57,17.12,34.17,68.4,85.5,102.8,120.45,137.95,72.2,145.62,Boston,MA,USA,
21,"Hartmann, Jason",M,33,42,38,53,5.57,15.18,30.52,62.22,79.62,98.68,118.05,137.22,65.88,145.68,Boulder,CO,USA,
149,"Baker, Jonathan E.",M,30,43,39,54,5.57,17.1,34.15,68.37,85.47,102.8,120.47,138.03,72.18,145.7,Cambridge,MA,USA,
127,"Johnson, Kevin C.",M,25,44,40,55,5.58,17.62,35.52,70.83,88,104.88,121.72,138.47,74.58,146.23,Lebanon,NH,USA,
134,"Fermoyle, Kelly",M,28,45,41,56,5.58,16.92,33.92,68.1,84.93,102.28,120.2,138.13,71.78,146.28,Minneapolis,MN,USA,
114,"Finnel, Brian",M,26,46,42,57,5.6,16.32,32.92,67.07,84.17,101.88,119.87,138.08,70.77,146.45,Madison,WI,USA,
980,"Gibson, Robert F.",M,24,47,43,58,5.6,17.1,34.15,68.17,84.78,101.73,119.35,137.82,71.75,146.52,Brookline,MA,USA,
126,"Peck, Graham",M,24,48,44,59,5.6,17,34.12,68.42,85.5,103.13,121.05,138.88,72.15,146.6,Baltimore,MD,USA,
153,"Williams, Andrew D.",M,26,49,45,60,5.6,17,34.17,68.87,86.13,103.98,122.02,139.33,72.6,146.63,Middlebury,IN,USA,
140,"Dewitt, Jonathan L.",M,24,50,46,61,5.6,16.88,33.77,67.42,84.32,101.77,119.73,138.15,71.1,146.77,Toledo,OH,USA,
138,"Wallor, Eric J",M,31,51,47,62,5.62,17.18,34.32,68.6,85.75,103.32,121.47,139.18,72.4,146.85,Palatine,IL,USA,
132,"Bartlett, Peter J Jr.",M,27,52,48,63,5.62,16.15,32.58,65.9,83.28,101.3,120.05,138.83,69.65,146.98,New York,NY,USA,
85,"Tenorio, Franklin B. Sr.",M,44,53,4,64,5.62,15.77,32.37,66.45,83.92,102.08,120.43,138.65,70.2,147,Boulder,CO,USA,ECU
120,"Duncan, Sean D.",M,24,54,49,65,5.62,17.05,34.05,68.05,85.28,102.78,120.92,139,71.77,147.03,Arlington,MA,USA,
710,"Ricardi, John",M,27,55,50,66,5.63,17.23,34.2,68.25,85.32,102.93,121.1,139.28,71.93,147.33,Seattle,WA,USA,
296,"Chaillou, Thomas",M,29,56,51,67,5.63,16.83,33.98,68.87,86.18,103.85,121.83,139.47,72.65,147.53,Lexington,KY,USA,FRA
144,"Ayr, Jason M.",M,26,57,52,68,5.63,17.07,34.1,68.33,85.45,102.75,120.58,138.82,72.15,147.6,Northampton,MA,USA,
181,"Loseman, Chris A.",M,25,58,53,69,5.63,17.07,33.8,67.53,84.55,102.3,120.68,139.23,71.22,147.62,Saint Charles,MO,USA,
106,"Freeman, Crosby",M,30,59,54,70,5.63,16.77,33.93,67.87,84.68,101.83,119.77,138.6,71.57,147.63,San Francisco,CA,USA,
F14,"Esayias, Yeshi",F,28,12,12,71,5.63,16.22,33.02,67.62,85.03,102.92,121.6,139.7,71.45,147.67,Arsi,,ETH,
162,"Rock, Jon",M,24,60,55,72,5.65,15.63,32.15,66.63,83.9,101.63,120.28,139.32,70.35,147.92,Macomb,MI,USA,
255,"Maedel, Nicholas",M,25,61,56,73,5.65,16.88,33.88,68.03,85,102.88,121.47,139.68,71.73,147.97,Tampa,FL,USA,
572,"Gleason, Scott",M,28,62,57,74,5.67,17.43,34.83,69.62,86.97,104.48,122.32,140.28,73.42,148.2,Walton,NY,USA,
141,"Guillen, Ramiro C.",M,31,63,58,75,5.67,16.93,33.82,67.55,84.85,102.58,121.4,140.47,71.3,148.5,Goleta,CA,USA,
46,"Dworak, Brandon T.",M,26,64,59,76,5.67,16.25,32.85,67.15,84.9,103.17,122.08,140.55,70.85,148.53,Memphis,TN,USA,
169,"O'Grady, Thomas",M,28,65,60,77,5.68,17.2,34.58,69.58,86.98,104.75,122.85,140.65,73.37,148.65,Latham,NY,USA,
198,"Naranjo, Nicolai",M,25,66,61,78,5.68,17.53,35.2,70.4,87.8,105.1,122.73,140.78,74.22,148.78,Northampton,MA,USA,
136,"Dirscherl, Christian",M,34,67,62,79,5.68,16.4,33.27,68.05,85.73,104.25,122.68,140.8,71.82,148.83,Denver,CO,USA,GER
346,"Deblander, Matthew D",M,26,68,63,80,5.68,17.13,34.15,68.58,86.13,104.2,122.48,140.7,72.38,148.92,Duboistown,PA,USA,
83,"Achmuller, Hermann",M,43,69,5,81,5.68,16.45,33.15,67.32,84.88,103.05,121.63,140.48,71.15,148.98,Brixen,,ITA,
182,"Tarneja, Neel",M,31,70,64,82,5.7,17.1,34.15,68.93,86.3,103.75,121.93,141.17,72.77,149.07,Shrewsbury,MA,USA,
515,"Sevcik, David",M,24,71,65,83,5.7,17.9,35.23,70.23,87.58,105.08,123.13,141.23,74.05,149.17,Westminster,CO,USA,
105,"Joslyn, C Fred",M,30,72,66,84,5.7,16.65,33.3,67.08,83.92,101.68,120.78,140.78,70.78,149.2,East Syracuse,NY,USA,
361,"McCurdy, Matthew R.",M,36,73,67,85,5.7,16.67,33.68,68.52,85.88,104.35,122.52,140.93,72.33,149.25,Marshfield,WI,USA,
487,"Davis, Kirby F.",M,29,74,68,86,5.7,17.8,35,69.07,85.97,103.57,121.7,140.62,72.78,149.28,San Diego,CA,USA,
187,"O'Leary, Brendon P",M,32,75,69,87,5.7,17.2,34.42,69.47,87.13,105.27,123.58,141.38,73.38,149.32,Whitman,MA,USA,
32,"Curley, Craig",M,25,76,70,88,5.7,15.7,32.15,66.47,84.08,102.43,121.12,139.62,70.28,149.43,Tucson,AZ,USA,
398,"Reaves, Patrick",M,29,77,71,89,5.72,17.37,34.92,70.12,87.7,105.4,123.25,141.22,73.93,149.52,San Mateo,CA,USA,
307,"Clifford, Tom G.",M,30,78,72,90,5.72,17.37,34.92,69.73,87.15,104.97,123.02,141.17,73.57,149.53,Wilmington,NC,USA,
103,"Schulze, Marc",M,29,79,73,91,5.72,16.05,32.42,65.93,83.38,102.33,122.33,141.72,69.65,149.68,Dresden,,GER,
131,"Holt, Jason",M,27,80,74,92,5.72,16.17,32.58,66.18,83.4,101.83,121.32,140.85,69.85,149.7,Kaysville,UT,USA,
290,"Dichiara, Tom",M,36,81,75,93,5.72,17.22,34.78,70.12,87.7,105.38,123.43,141.78,73.97,149.82,Bethesda,MD,USA,
300,"Knutson, Michael",M,34,82,76,94,5.73,16.92,33.83,68.25,85.57,103.65,122.57,141.43,72.02,150.05,Baker City,OR,USA,
215,"Doyle, Kevin R",M,34,83,77,95,5.73,17.58,35.17,70.35,87.83,106.08,124.5,142.2,74.13,150.07,Ebensburg,PA,USA,
448,"Mish, Brad",M,26,84,78,96,5.73,17.05,34.1,68.35,85.42,102.75,121.3,141.18,72.17,150.07,Dorchester,MA,USA,
253,"Kiely, Owen",M,30,85,79,97,5.73,17.2,34.75,69.85,87.2,104.93,123.43,141.97,73.65,150.22,Pasadena,CA,USA,
157,"Robinson, Sam F",M,29,86,80,98,5.73,16.92,33.95,68.2,85.48,104,123,141.83,71.93,150.23,Oakland,CA,USA,
146,"Scheid, Justin",M,28,87,81,99,5.75,17.5,34.82,69.75,87.1,105,123.48,142.1,73.55,150.33,Sparta,NJ,USA,
431,"Mocko, Chris",M,28,88,82,100,5.75,16.78,34.18,68.52,85.95,104.38,123.32,142.22,72.27,150.4,San Francisco,CA,USA,
191,"Mcgrath, Tom",M,27,89,83,101,5.75,17.72,35.7,71.17,88.85,106.7,124.95,142.6,75.03,150.4,Edmonton,AB,CAN,
F11,"Petrova Arkhipova, Tatiana",F,31,13,13,102,5.75,17.32,34.8,70.1,87.83,106.03,124.53,142.68,73.95,150.48,Cheboksary,,RUS,
156,"Chu, Steve",M,31,90,84,103,5.75,17.42,34.88,69.87,87.25,104.8,123.72,143.2,73.67,150.53,Colorado Springs,CO,USA,
107,"Folk, Matthew",M,38,91,85,104,5.75,17.07,34.15,68.47,85.9,104.02,122.73,141.78,72.25,150.55,Perrysburg,OH,USA,
F20,"Marchant, Lanni",F,30,14,14,105,5.75,16.92,33.93,68.77,86.3,104.53,123.47,142.37,72.6,150.57,London,ON,CAN,
40,"Ishiguro, Daisuke",M,21,92,86,106,5.75,15.68,32.13,63.93,79.92,96.8,114.62,138.67,67.37,150.72,Tokyo,,JPN,
269,"Fernandez Cantos, Juan Antonio Sr.",M,32,93,87,107,5.75,16.73,33.88,68.87,86.35,104.6,123.23,142.38,72.63,150.75,Benidorm,,ESP,
358,"Cummings, Cameron M",M,32,94,88,108,5.77,16.68,33.62,69.12,87.33,105.88,124.78,142.92,72.98,151.02,Omaha,NE,USA,
170,"Tarneja, Ankur",M,32,95,89,109,5.78,17.87,35.48,70.9,88.63,106.62,124.87,143.08,74.73,151.23,Los Angeles,CA,USA,
F23,"Nelson, Adriana",F,34,15,15,110,5.78,16.98,34.35,70.18,88.18,106.7,125.28,143.07,74.13,151.25,Fort Collins,CO,USA,
F24,"Aparecida da Silva, Adriana",F,32,16,16,111,5.78,17.5,35.22,70.82,88.65,106.88,125.43,143.4,74.73,151.3,Sao Paulo,,BRA,
135,"Bedoya, David",M,37,96,90,112,5.78,16.92,33.93,68.08,85.47,104.38,124.03,143.15,71.77,151.32,Somerville,MA,USA,
87,"Kuhlmann, Patrick M.",M,43,97,6,113,5.78,16.88,34.08,68.98,86.67,104.87,123.73,143.08,72.87,151.52,Washington,DC,USA,
665,"Hotchkiss, Mark",M,28,98,91,114,5.78,17.53,35,70.45,88.3,106.77,125.63,143.6,74.33,151.55,Littleton,CO,USA,
514,"Jacobs, Austin T.",M,24,99,92,115,5.8,17.32,34.55,69.08,86.2,104.23,123.13,142.45,72.93,151.72,Springfield,MO,USA,
686,"Driscoll, Mark P",M,30,100,93,116,5.8,17.13,34.18,68.42,85.52,102.87,121.57,142.57,72.22,151.83,Asheville,NC,USA,
189,"Hensley, Mike",M,28,101,94,117,5.8,17.33,34.78,70.28,88.13,106.63,125.23,143.57,74.15,151.85,Gainesville,FL,USA,
180,"Martin, Daniel",M,30,102,95,118,5.8,17.6,35.12,70.5,88.32,106.73,125.65,143.95,74.33,151.97,Miami Shores,FL,USA,
186,"Masland, Caleb",M,32,103,96,119,5.8,17.98,35.77,71.07,88.62,106.63,124.85,143.45,74.88,152,Blowing Rock,NC,USA,
275,"Brigham, Nathan",M,31,104,97,120,5.8,17.33,34.7,69.9,87.3,105.53,124.63,143.63,73.65,152.07,Baltimore,MD,USA,
F7,"Kilel, Caroline",F,33,17,17,121,5.8,16.22,32.58,67.15,85.55,104.62,124.22,143.5,71.1,152.07,Bomet,,KEN,
104,"Varner, Alexander",M,28,105,98,122,5.82,16.95,33.95,68.3,85.78,104.95,124.27,143.4,72.05,152.08,San Rafael,CA,USA,
128,"Kruger, Matthew",M,25,106,99,123,5.82,17.08,34.15,69.03,86.67,105,124.02,143.48,72.88,152.13,St. Louis,MO,USA,
553,"Kendall, Owen T",M,31,107,100,124,5.82,17.82,35.6,71.18,88.75,106.53,125.08,143.73,75.05,152.2,Jamaica Plain,MA,USA,
172,"Johnson, David R.",M,25,108,101,125,5.82,17.53,35.2,70.4,87.8,105.4,124.2,143.68,74.2,152.25,Northampton,MA,USA,
258,"Steffen, Joshua G.",M,33,109,102,126,5.82,17.52,35.02,70.07,87.65,105.98,125.07,143.78,73.9,152.25,New London,NH,USA,
1557,"Regnier, Jesse C.",M,26,110,103,127,5.82,17.02,34,68.03,85.62,104.43,123.72,143.63,71.73,152.33,Northampton,MA,USA,
F21,"Burla, Serena",F,31,18,18,128,5.82,16.93,34.07,69.3,87.13,105.87,124.97,143.97,73.18,152.45,Stafford,VA,USA,
228,"Leese, Ben J.",M,33,111,104,129,5.83,16.83,33.78,67.97,86.62,104.87,123.95,143.42,71.67,152.68,Brooklyn,NY,USA,GBR
1009,"Davis, John G",M,24,112,105,130,5.83,17.42,34.83,70.27,87.9,106.15,124.8,143.67,74.12,152.77,New York,NY,USA,
1672,"Scott, Derek",M,28,113,106,131,5.83,18.78,37.22,74,91.68,109.7,127.58,144.93,77.9,152.8,Portland,OR,USA,
F30,"Thomas, Wendy",F,35,19,19,132,5.83,17.48,35.2,70.8,88.57,106.88,125.68,144.35,74.67,152.82,Windsor,CO,USA,
231,"Valentine, Eddie",M,34,114,107,133,5.83,17.78,35.7,71.9,89.95,108.32,126.63,144.57,75.85,152.85,Arlington,VA,USA,
